city_code,temperature,condition,humidity,timestamp
USNY0996,26°,Mostly Cloudy,49%,2025-01-08 19:28:26
UKXX0085,37°,Mostly Cloudy,84%,2025-01-08 19:28:30
JAXX0085,40°,Fair,45%,2025-01-08 19:28:35
USNY0996,33°,Cloudy,87%,2025-02-12 18:59:42
UKXX0085,42°,Cloudy,75%,2025-02-12 18:59:49
JAXX0085,50°,Partly Cloudy,74%,2025-02-12 18:59:53
USNY0996,33°,Cloudy,88%,2025-02-12 19:09:27
UKXX0085,42°,Cloudy,75%,2025-02-12 19:09:31
JAXX0085,51°,Partly Cloudy,73%,2025-02-12 19:09:35
INXX0096,69°,Haze,41%,2025-02-12 19:09:41
INXX0087,81°,Smoke,56%,2025-02-12 19:09:46
INXX0012,77°,Fair,22%,2025-02-12 19:09:51
INXX0075,80°,Partly Cloudy,76%,2025-02-12 19:09:57
INXX0202,81°,Partly Cloudy,73%,2025-02-12 19:10:01
INXX0057,85°,Fair,38%,2025-02-12 19:10:06
INXX0001,81°,Smoke,31%,2025-02-12 19:10:11
INXX0158,78°,Clear,86%,2025-02-12 19:10:16
INXX0059,72°,Haze,28%,2025-02-12 19:10:21
INXX0083,67°,Clear,46%,2025-02-12 19:10:25
USNY0996,35°,Rain and Snow,87%,2025-02-13 08:57:01
UKXX0085,39°,Cloudy,85%,2025-02-13 08:57:06
JAXX0085,51°,Sunny/Wind,30%,2025-02-13 08:57:11
INXX0096,60°,Fog,60%,2025-02-13 08:57:16
INXX0087,75°,Smoke,55%,2025-02-13 08:57:21
INXX0096,76°,Fair,43%,2025-02-24 12:23:18
INXX0096,76°,Sunny,42%,2025-02-24 12:29:27
INXX0096,74°,Haze,44%,2025-02-25 19:20:45
JAXX0085,49°,Partly Cloudy,65%,2025-02-27 18:46:31
JAXX0085,49°,Clear,68%,2025-02-27 19:16:35
INXX0096,70°,Haze,60%,2025-02-27 19:26:20
JAXX0085,59°,Sunny,43%,2025-02-28 09:56:59
INXX0096,70°,Cloudy,65%,2025-02-28 11:18:35
INXX0096,70°,Cloudy,65%,2025-02-28 11:21:25
INXX0087,89°,Smoke,39%,2025-02-28 11:23:13
INXX0096,70°,Cloudy,65%,2025-02-28 11:24:31
INXX0096,68°,Light Rain,81%,2025-03-01 14:43:14
USNY0996,61°,Clear,63%,2025-08-31 15:28:41
